epoch,tick,alive_count,births_count,births_skipped,deaths_starvation,deaths_emergency,deaths_pitfall,deaths_max_age,deaths_cull,extinction_flag,avg_energy,median_energy,min_energy,max_energy,std_energy,avg_weight,avg_speed,avg_defense_ones,avg_repro_age,avg_age,median_age,max_age_alive,avg_mobility,avg_food_absorption,avg_move_probability,genetic_diversity,unique_defense_seqs,food_spawned,food_eaten,food_expired,food_available,pitfall_encounters,pitfall_avg_damage,pitfall_zero_damage,adaptation_score,adapted_frac,stress_mode_active,mutation_rate_effective
0,1000,37,26,0,4,0,65,0,0,False,0.929984450340271,0.9831941723823547,0.4145331382751465,1.0,0.12052718549966812,0.47439277172088623,0.6337727308273315,17.513513513513512,859.9459459459459,476.0810810810811,246.0,1000,1.0,1.0,0.6337727308273315,985.6726726726727,27,23954,5955,17587,1057,1333,7.028507126781696,0,0.560718304576144,0.0,False,0.01
1,2000,39,33,0,2,0,26,3,0,False,0.9224896430969238,0.9803778529167175,0.36859968304634094,1.0,0.1330692619085312,0.5165513157844543,0.741157591342926,18.333333333333332,856.0769230769231,608.3333333333334,472.0,1287,0.9468060731887817,0.9552050828933716,0.6978148221969604,949.6221322537112,20,24486,5767,18719,1057,1313,5.666412795125666,0,0.6458492003046459,0.0,False,0.01
2,3000,60,62,0,8,0,33,0,0,False,0.8820675015449524,0.9736770987510681,0.16231390833854675,1.0,0.19231510162353516,0.5605639219284058,0.776479959487915,18.35,838.7333333333333,594.0,567.0,1472,0.9475520849227905,0.9558333158493042,0.740030825138092,861.4338983050848,20,24348,8246,16260,899,1865,5.624128686327078,0,0.6484919571045576,0.0,False,0.01
3,4000,69,77,0,13,0,53,2,0,False,0.8984569907188416,0.9900907278060913,0.3186623454093933,1.0,0.16814525425434113,0.5443550944328308,0.800189197063446,18.391304347826086,829.231884057971,542.8260869565217,435.0,1312,0.9683505892753601,0.9733477830886841,0.7782815098762512,856.4475703324808,29,24385,11010,13424,850,2544,5.616352201257862,0,0.6489779874213837,0.0,False,0.01
4,5000,94,98,0,20,0,50,3,0,False,0.8438949584960938,0.9430155754089355,0.012673541903495789,1.0,0.20971757173538208,0.6070533990859985,0.8284329175949097,18.43617021276596,813.9255319148937,528.2021276595744,520.0,1684,0.9240127205848694,0.9360106587409973,0.7715889811515808,746.8073667353009,39,24253,11687,12513,903,2773,5.483952398124774,0,0.6572529751172016,0.0,False,0.01
5,6000,91,88,0,32,0,55,4,0,False,0.8595851063728333,0.962332546710968,0.2243027687072754,1.0,0.1899266242980957,0.5935835242271423,0.8325361609458923,18.252747252747252,817.8571428571429,643.934065934066,426.0,1522,0.9315947890281677,0.9423955678939819,0.7841033339500427,728.4576312576313,33,24550,13300,11385,768,3264,5.451286764705882,0,0.6592945772058824,0.0,False,0.01
6,7000,86,100,0,35,0,66,4,0,False,0.8758885860443115,0.9632242321968079,0.15783172845840454,1.0,0.1819760948419571,0.5902283191680908,0.8026515245437622,18.441860465116278,813.046511627907,731.8604651162791,583.0,1624,0.8885821104049683,0.9061744213104248,0.7123954892158508,681.6664842681258,30,24448,14496,9920,800,3662,5.40387766247952,0,0.66225764609503,0.0,False,0.01
7,8000,133,170,0,39,3,78,3,0,False,0.7841262221336365,0.8966870307922363,0.09888774156570435,1.0,0.24856173992156982,0.6849271059036255,0.8620781898498535,18.112781954887218,755.0075187969925,534.5187969924812,440.0,1728,0.9509018063545227,0.9586541056632996,0.8224338889122009,324.550505050505,43,24444,15288,9301,655,4077,5.068923227863626,0,0.6831922982585235,0.0,False,0.01
8,9000,111,101,0,47,4,69,3,0,False,0.8349449038505554,0.9483435153961182,0.09556883573532104,1.0,0.2187829464673996,0.6719577312469482,0.820446789264679,18.36936936936937,757.9009009009009,664.7117117117117,444.0,1670,0.9302477240562439,0.9412612318992615,0.7634188532829285,377.0038383838384,33,24349,15492,8763,749,4068,4.873156342182891,0,0.6954277286135693,0.0,False,0.01
9,10000,142,160,0,46,3,77,3,0,False,0.8112289905548096,0.8956276178359985,0.017989382147789,1.0,0.22746212780475616,0.6974315643310547,0.8109275698661804,18.887323943661972,746.1056338028169,527.3732394366198,531.0,1480,0.9188820123672485,0.9316901564598083,0.7470220923423767,307.2779797979798,40,24670,15259,9373,787,4146,4.646647370959961,0,0.7095845393150024,0.0,False,0.01
